peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
8988,1.0,1,585.237954722,665.047973633,115872.078125,M+2ACN+H,0.9990,503.18513,2
8998,1.0,1,126.031765135,479.742004395,1269654.125,M+H,1.0000,126.03177,2
8999,1.0,1,167.058261705,474.566009521,871702.3125,M+ACN+H,0.7280,126.03177,2
9001,1.0,1,85.0527485718,416.450012207,1237516.875,M+H,1.0000,85.05275,3
9002,1.0,1,117.078976799,413.970001221,905988.8125,M+CH3OH+H,1.0000,85.05275,3
9003,1.0,1,126.079312776,410.042999268,851127.5625,M+ACN+H,1.0000,85.05275,3
9010,1.0,1,214.045259266,550.677001953,1167191.75,M+H,1.0000,214.04526,2
9011,1.0,1,246.071403493,551.95300293,1118295.75,M+CH3OH+H,1.0000,214.04526,2
9023,1.0,1,126.031694458,388.881988525,1088868.625,M+H,1.0000,126.03169,5
9024,1.0,1,143.058270243,391.363006592,1043707.8125,M+NH4,0.9240,126.03169,5
9025,1.0,1,208.084784493,391.363006592,994888.9375,M+2ACN+H,1.0000,126.03169,5
